Gen,Best_Fit,Avg_Fit,Std_Dev_Fit
0,2595.7474904447618,1899.6548299384758,305.7855536455942
1,2763.2175991197137,2247.2314657119264,191.8315300761527
2,3146.0043140340736,2413.5134401793866,209.73585948393674
3,3140.9566161973253,2487.620070236115,244.04343114933496
4,3227.7506273588756,2616.197663090623,274.587061709624
5,3227.4405540817215,2723.6867178067223,336.6326839448931
6,3227.295062256578,2940.391912845653,231.55742329229642
7,3228.669071613473,2986.187940077272,229.8269681802935
8,3266.8091364892944,3015.588933006688,243.72772502781996
9,3362.849853799649,3083.782803766895,194.86122648944738
10,3384.2259887882947,3105.395222943786,181.17602257981787
11,3381.9525329951402,3085.323293332619,207.8616150570714
12,3919.404896532693,3109.1263679493177,256.82529212453505
13,3381.5410081649725,3161.3420388960158,201.13244411990897
14,3385.1290938196507,3157.4294687085517,175.01208499460088
15,3393.7402522851708,3192.5815323228053,149.13611892339276
16,3858.5856792107115,3228.4353924246225,173.84794296160652
17,3886.1584139775005,3163.6280197476076,247.2020653845714
18,3972.6719073980676,3246.3022378773335,198.80184685213464
19,3400.3002295485844,3226.475211108166,160.43457232488998
20,3389.581780566869,3239.555576659505,132.54338111511322
21,3886.6013303085083,3209.9048594286273,203.1304485284291
22,3477.7963957485053,3239.136651582787,165.2815709779438
23,3514.0596848270743,3227.9656810777187,154.2892873606925
24,3420.0823214111983,3235.384241658076,149.44174076134922
25,3410.912810277234,3225.0799928860106,149.8011770789617
26,3961.2769231044094,3191.9584606162903,225.88425658362397
27,3413.873617384591,3218.2279920237784,162.2116689801053
28,4136.867451534118,3240.3095266506625,211.53943455302985
29,3418.868567512244,3190.663062394584,186.86569904747606
30,3416.846473518712,3214.9522882338388,187.7790438113242
31,3433.198313171823,3221.2817618325034,198.71991935601224
32,3429.1920988448846,3208.124057404297,217.92184718826636
33,3428.68856599737,3215.3470028938177,174.6949061290345
34,3426.4809941406925,3172.3734020157203,204.83730579578398
35,3425.9450116344096,3253.5745075478517,180.1246967083767
36,3425.3178814792836,3279.195170500364,156.62655386110112
37,3907.666799560031,3265.9750781083053,211.00184326456633
38,3432.3519397622267,3212.5028175548696,221.3501564550216
39,3437.1829734596135,3177.642190570581,246.4983839409017
40,3887.5293578593337,3271.898019026996,177.11645374807895
41,3664.112971456753,3210.5614509502684,200.8001188601002
42,3429.071915086067,3251.9861597567465,164.16450399558562
43,3425.725135924751,3262.0862088542954,123.69848169467407
44,3424.267665463953,3255.5110212051677,173.23495931112538
45,3980.0973541681756,3246.158125398639,247.07424944106603
46,3428.3928676331407,3224.57988574833,194.04511721010346
47,3431.421396638714,3203.1008806804393,220.41547950703233
48,3977.2955730876006,3238.3472684938934,222.14921078308356
49,3446.7508851862685,3221.60623842859,218.18059122494267
50,3437.9985819945637,3227.1490565825707,196.13620215294048
51,3527.6378638377164,3294.2895520370266,132.6303200057584
52,3438.692303170026,3238.2696498576784,188.41505657866375
53,4018.382848153742,3280.722588371241,225.0408599986269
54,3426.007033004153,3232.444384551885,156.78139921814767
55,3441.3975667287023,3256.7877578286266,167.40965676413558
56,3432.020848135865,3250.4667907705593,189.97730431839034
57,4047.5231870637353,3285.026732491046,194.17499511951218
58,3484.2815660562833,3259.932348787535,152.76978103843624
59,3428.820286755819,3282.413044410317,149.17898067522083
60,3993.719076530623,3296.758671440999,188.2855168883605
61,3431.8311007681996,3248.0045828086204,159.2271421543014
62,3445.3696076656556,3255.440190622749,213.30862240643685
63,3432.016532445381,3222.1445431729494,208.31811749665803
64,3428.449841764397,3219.04984324004,196.37271906893727
65,3786.9842539009924,3254.0386128095615,196.16245810686286
66,3436.9689398445594,3240.9303957566694,159.90826206237787
67,3428.53006865586,3259.0730083166663,157.66904083497784
68,3440.6854502772794,3212.0714128009977,211.25533309213873
69,4135.021876762925,3252.388595968731,195.44252620564473
70,4213.568121463326,3222.629976831753,248.6211561935937
71,3440.9566443565486,3229.0385752144275,174.27563942045143
72,3969.6463114267262,3266.9523098149734,208.69840659759
73,3437.644966086382,3263.557390970667,121.91345960624858
74,3430.2444737589703,3218.328881899064,188.88628500796307
75,3428.3989365923244,3252.9281425467993,130.19368928152113
76,3438.5877627719565,3253.6163311191563,156.64286056473694
77,4008.845593773519,3233.691719333281,212.07861322835217
78,3427.7324395863657,3228.065239019127,154.1196056753261
79,3435.722535274748,3239.965919106162,183.92220676173034
80,3440.704743824311,3255.3806235645734,148.10140270456202
81,3442.402147060346,3237.396878339781,160.58623298391683
82,3442.667404969578,3249.4139834426765,179.5574035872096
83,3933.044976934717,3282.6354782138387,165.25687353578152
84,3441.307150235284,3221.9791374196343,194.37307034018025
85,3864.2569214351856,3275.8458638416328,171.502136166138
86,3447.4961807902746,3206.378947486319,192.01401803098886
87,3450.4867231395447,3222.462954063011,188.23978593198558
88,3443.715514164986,3199.478332624759,216.96551504091224
89,3439.7589071144357,3259.342840882149,179.9136880419448
90,3440.6189188481953,3252.444871314203,196.68835121301345
91,3445.8747080134267,3211.926626660186,220.57683716679065
92,3457.087717911808,3240.544126363505,195.49562035179886
93,3437.901670961166,3233.804007724397,177.949902902079
94,3447.3088045470286,3223.9462900582234,185.30826635481654
95,4126.04043813488,3281.1275775121862,245.12957095054847
96,3438.485923766729,3230.77518617505,183.0962519352892
97,3449.2730890119565,3249.508435897296,182.6303136722151
98,3442.990755122303,3249.5926276019836,193.56692421086407
99,4202.67003603849,3256.330175464029,241.4877862943528
100,4239.997168392046,3284.9256633451373,267.21028556629295
101,3571.0687392706213,3250.400689731862,175.84491266782055
102,3516.6678766186474,3241.211272366316,182.1709697301709
103,3446.791153418393,3274.5634818463463,174.66795900719882
104,3875.9244904403467,3174.9201583066715,243.38901604603782
105,3437.330541045842,3233.0549632917787,148.27168865484833
106,3447.197475262788,3226.022639948482,192.01835830073128
107,3441.2357295892675,3262.3252393402113,183.06791390786987
108,3442.1449052352264,3226.921217207552,209.99034790309508
109,3449.8506664522997,3213.177679888575,196.10664245812555
110,3949.253646787865,3241.776141943843,213.43478852547275
111,4176.929342335399,3257.637325354773,254.1597497111082
112,3446.1806196978323,3249.8723547561362,228.89826480519966
113,3442.057758470651,3252.076491463898,185.42000392080476
114,3445.7780425959763,3264.0154354099154,155.99942571845995
115,3442.181325653218,3238.846230938875,171.64655104824644
116,3454.4098183260967,3280.362582427795,181.14293968396282
117,3445.026742582818,3286.252854133694,144.94982840128782
118,3441.9547955391795,3189.6268369430354,236.6118237933372
119,3447.180088515457,3214.452395951608,215.6131852044284
120,3441.54982060856,3244.9951175278866,173.77557430038084
121,3452.5546439885475,3196.4427052965166,256.32956905515226
122,3439.009057751854,3241.5681480151625,165.61535639425628
123,4215.240970652178,3296.644815978339,281.6516935173714
124,3442.789837544397,3240.8202873322216,174.38853303313257
125,4218.097416638426,3275.8107110822502,217.76789611768697
126,3444.4847941712856,3287.8454776121666,173.4008510514586
127,3451.8794682138277,3214.784187784686,220.12874033965772
128,3449.095913326169,3287.686604973422,133.85135659654009
129,3454.018399079474,3272.0549572264713,156.49542804683554
130,3443.7072686239744,3229.9709558731993,189.8582694104324
131,3454.737524980779,3213.671201131751,208.17189436542608
132,3461.6811004202477,3227.413079692406,178.34043473414687
133,3444.9735762524833,3242.7609485457583,194.6418844115389
134,3445.6743944920036,3270.1883640064584,166.83755382251863
135,3439.450200840032,3230.526658135865,219.6143726649105
136,3441.248368156783,3228.349770868012,200.50140916962403
137,3526.3957330206913,3258.1160024589567,202.27634097708298
138,3444.8986421037066,3189.867591959372,203.3068465428878
139,3448.098082389597,3203.879256285089,210.11371176795328
140,3585.6673872137444,3271.248118028796,191.3553973971074
141,3440.812083903678,3209.513244499542,210.3008404836325
142,3450.2637068689155,3212.3985991553614,196.03527011660498
143,3446.6026950483506,3219.8632274971374,205.58039071469648
144,3450.5365143139375,3230.2453998293417,203.4834057150207
145,3446.044210317953,3238.5724273112983,208.87209025766143
146,3438.811677488877,3221.2760468020188,225.35760269260328
147,3450.8009779636177,3257.872638442697,178.1796646727888
148,3901.5737664622466,3243.097084488222,208.45856410278554
149,3450.1741365676403,3232.405595900606,190.34056668842612
150,3813.135842919223,3206.5074341778427,217.8532769073427
151,3444.834049035272,3219.413667272579,166.1507029722099
